epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9797,1.44224,4.04855,1.8092,0.5373,0.08519,0.05955,0.02317,1.88101,3.2005,2.38688,0.000157911,0.000157911,0.000157911
2,167.932,1.4367,3.28917,1.77936,0.352,0.20369,0.14011,0.06236,1.87312,2.79321,2.33846,0.000300907,0.000300907,0.000300907
3,248.666,1.42393,2.82039,1.74332,0.34927,0.29159,0.25215,0.12075,1.82703,2.54385,2.36214,0.000428195,0.000428195,0.000428195
4,325.126,1.39884,2.58068,1.71818,0.27515,0.31413,0.2555,0.118,1.943,2.47642,2.31818,0.000405314,0.000405314,0.000405314
5,409.15,1.34908,2.32114,1.66878,0.50095,0.32432,0.32873,0.15219,1.87175,2.21046,2.324,0.000381752,0.000381752,0.000381752
6,485.982,1.32328,2.17211,1.63652,0.40223,0.35715,0.33161,0.16617,1.84796,2.08925,2.27889,0.00035819,0.00035819,0.00035819
7,564.317,1.28643,2.04539,1.61331,0.41185,0.4074,0.39921,0.19655,1.82337,1.97601,2.26874,0.000334628,0.000334628,0.000334628
8,648.685,1.25035,1.91857,1.58046,0.5504,0.39823,0.4044,0.2039,1.82363,2.00614,2.26921,0.000311066,0.000311066,0.000311066
9,727.341,1.22813,1.82363,1.55614,0.47432,0.41229,0.4128,0.2125,1.76944,1.92351,2.2586,0.000287504,0.000287504,0.000287504
10,805.675,1.21034,1.7406,1.54489,0.40492,0.466,0.43267,0.21632,1.76242,1.85115,2.24576,0.000263942,0.000263942,0.000263942
11,885.294,1.20272,1.56648,1.68479,0.5262,0.42973,0.42476,0.2113,1.78788,1.87852,2.24005,0.00024038,0.00024038,0.00024038
12,961.111,1.11206,1.35096,1.5944,0.47206,0.4778,0.45335,0.23104,1.80193,1.73408,2.3008,0.000216818,0.000216818,0.000216818
13,1037.3,1.07654,1.23713,1.56214,0.47677,0.45446,0.43973,0.22698,1.8307,1.84233,2.34111,0.000193256,0.000193256,0.000193256
14,1118.71,1.0242,1.12098,1.50518,0.53934,0.44926,0.47298,0.23825,1.78823,1.7123,2.34634,0.000169694,0.000169694,0.000169694
15,1196.41,0.96739,1.02437,1.45917,0.61945,0.44521,0.47593,0.23317,1.83661,1.66893,2.38147,0.000146132,0.000146132,0.000146132
16,1272.08,0.91279,0.94645,1.41796,0.60797,0.44133,0.47173,0.24272,1.83044,1.68634,2.41593,0.00012257,0.00012257,0.00012257
17,1351.67,0.8728,0.88026,1.37658,0.57153,0.50403,0.48925,0.25131,1.85894,1.67412,2.50474,9.9008e-05,9.9008e-05,9.9008e-05
18,1427.32,0.83859,0.82987,1.34273,0.62248,0.43628,0.50382,0.25257,1.83264,1.62436,2.46966,7.5446e-05,7.5446e-05,7.5446e-05
19,1502.24,0.80054,0.79962,1.31491,0.53439,0.4866,0.50603,0.25159,1.87791,1.61211,2.54046,5.1884e-05,5.1884e-05,5.1884e-05
20,1582.88,0.76476,0.76247,1.28192,0.50824,0.52202,0.51159,0.25562,1.86472,1.60851,2.53711,2.8322e-05,2.8322e-05,2.8322e-05
